# Real monthly US AQI from Open-Meteo Air-Quality archive (no key).
# Delhi, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,aqi
873da1044ffffff,28.54741,77.34667,12,207.6
873da1044ffffff,28.54741,77.34667,13,151.1
873da1044ffffff,28.54741,77.34667,14,146.2
873da1044ffffff,28.54741,77.34667,15,145.9
873da1044ffffff,28.54741,77.34667,16,222.1
873da1044ffffff,28.54741,77.34667,17,250.3
873da1044ffffff,28.54741,77.34667,18,130.3
873da1044ffffff,28.54741,77.34667,19,100.3
873da1044ffffff,28.54741,77.34667,20,126.8
873da1044ffffff,28.54741,77.34667,21,158.7
873da1044ffffff,28.54741,77.34667,22,197.8
873da1044ffffff,28.54741,77.34667,23,185.2
873da1044ffffff,28.54741,77.34667,24,203.2
873da1044ffffff,28.54741,77.34667,25,160.1
873da1044ffffff,28.54741,77.34667,26,848.6
873da1044ffffff,28.54741,77.34667,27,843.7
873da1044ffffff,28.54741,77.34667,28,894.8
873da1044ffffff,28.54741,77.34667,29,530.9
873da1044ffffff,28.54741,77.34667,30,149.1
873da1044ffffff,28.54741,77.34667,31,269.0
873da1044ffffff,28.54741,77.34667,32,130.1
873da1044ffffff,28.54741,77.34667,33,165.1
873da1044ffffff,28.54741,77.34667,34,190.9
873da1044ffffff,28.54741,77.34667,35,210.2
873da1044ffffff,28.54741,77.34667,36,202.5
873da1044ffffff,28.54741,77.34667,37,172.7
873da1044ffffff,28.54741,77.34667,38,671.3
873da1044ffffff,28.54741,77.34667,39,798.9
873da1044ffffff,28.54741,77.34667,40,1050.4
873da1044ffffff,28.54741,77.34667,41,622.1
873da1046ffffff,28.52567,77.34346,0,205.6
873da1046ffffff,28.52567,77.34346,1,169.2
873da1046ffffff,28.52567,77.34346,2,158.1
873da1046ffffff,28.52567,77.34346,3,130.9
873da1046ffffff,28.52567,77.34346,4,140.5
873da1046ffffff,28.52567,77.34346,5,125.9
873da1046ffffff,28.52567,77.34346,6,111.0
873da1046ffffff,28.52567,77.34346,7,154.4
873da1046ffffff,28.52567,77.34346,8,126.2
873da1046ffffff,28.52567,77.34346,9,138.6
873da1046ffffff,28.52567,77.34346,10,184.4
873da1046ffffff,28.52567,77.34346,11,189.6
873da1046ffffff,28.52567,77.34346,12,207.6
873da1046ffffff,28.52567,77.34346,13,151.1
873da1046ffffff,28.52567,77.34346,14,146.2
873da1046ffffff,28.52567,77.34346,15,145.9
873da1046ffffff,28.52567,77.34346,16,222.1
873da1046ffffff,28.52567,77.34346,17,250.3
873da1046ffffff,28.52567,77.34346,18,130.3
873da1046ffffff,28.52567,77.34346,19,100.3
873da1046ffffff,28.52567,77.34346,20,126.8
873da1046ffffff,28.52567,77.34346,21,158.7
873da1046ffffff,28.52567,77.34346,22,197.8
873da1046ffffff,28.52567,77.34346,23,185.2
873da1046ffffff,28.52567,77.34346,24,203.2
873da1046ffffff,28.52567,77.34346,25,160.1
873da1046ffffff,28.52567,77.34346,26,848.6
873da1046ffffff,28.52567,77.34346,27,843.7
873da1046ffffff,28.52567,77.34346,28,894.8
873da1046ffffff,28.52567,77.34346,29,530.9
873da1046ffffff,28.52567,77.34346,30,149.1
873da1046ffffff,28.52567,77.34346,31,269.0
873da1046ffffff,28.52567,77.34346,32,130.1
873da1046ffffff,28.52567,77.34346,33,165.1
873da1046ffffff,28.52567,77.34346,34,190.9
873da1046ffffff,28.52567,77.34346,35,210.2
873da1046ffffff,28.52567,77.34346,36,202.5
873da1046ffffff,28.52567,77.34346,37,172.7
873da1046ffffff,28.52567,77.34346,38,671.3
873da1046ffffff,28.52567,77.34346,39,798.9
