# Real monthly US AQI from Open-Meteo Air-Quality archive (no key).
# Ahmedabad, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,aqi
8742cea2affffff,22.93967,72.50821,24,115.6
8742cea2affffff,22.93967,72.50821,25,85.5
8742cea2affffff,22.93967,72.50821,26,83.9
8742cea2affffff,22.93967,72.50821,27,73.0
8742cea2affffff,22.93967,72.50821,28,75.8
8742cea2affffff,22.93967,72.50821,29,71.5
8742cea2affffff,22.93967,72.50821,30,68.4
8742cea2affffff,22.93967,72.50821,31,63.5
8742cea2affffff,22.93967,72.50821,32,66.6
8742cea2affffff,22.93967,72.50821,33,105.1
8742cea2affffff,22.93967,72.50821,34,135.6
8742cea2affffff,22.93967,72.50821,35,110.5
8742cea2affffff,22.93967,72.50821,36,116.8
8742cea2affffff,22.93967,72.50821,37,126.1
8742cea2affffff,22.93967,72.50821,38,79.9
8742cea2affffff,22.93967,72.50821,39,69.5
8742cea2affffff,22.93967,72.50821,40,69.6
8742cea2affffff,22.93967,72.50821,41,74.7
8742cea2bffffff,22.94883,72.52979,0,136.4
8742cea2bffffff,22.94883,72.52979,1,109.5
8742cea2bffffff,22.94883,72.52979,2,102.7
8742cea2bffffff,22.94883,72.52979,3,75.5
8742cea2bffffff,22.94883,72.52979,4,64.1
8742cea2bffffff,22.94883,72.52979,5,57.2
8742cea2bffffff,22.94883,72.52979,6,60.0
8742cea2bffffff,22.94883,72.52979,7,61.0
8742cea2bffffff,22.94883,72.52979,8,67.4
8742cea2bffffff,22.94883,72.52979,9,112.9
8742cea2bffffff,22.94883,72.52979,10,133.2
8742cea2bffffff,22.94883,72.52979,11,113.1
8742cea2bffffff,22.94883,72.52979,12,113.2
8742cea2bffffff,22.94883,72.52979,13,94.5
8742cea2bffffff,22.94883,72.52979,14,77.3
8742cea2bffffff,22.94883,72.52979,15,74.4
8742cea2bffffff,22.94883,72.52979,16,70.8
8742cea2bffffff,22.94883,72.52979,17,67.4
8742cea2bffffff,22.94883,72.52979,18,63.9
8742cea2bffffff,22.94883,72.52979,19,58.4
8742cea2bffffff,22.94883,72.52979,20,68.5
8742cea2bffffff,22.94883,72.52979,21,114.1
8742cea2bffffff,22.94883,72.52979,22,131.0
8742cea2bffffff,22.94883,72.52979,23,120.2
8742cea2bffffff,22.94883,72.52979,24,115.6
8742cea2bffffff,22.94883,72.52979,25,85.5
8742cea2bffffff,22.94883,72.52979,26,83.9
8742cea2bffffff,22.94883,72.52979,27,73.0
8742cea2bffffff,22.94883,72.52979,28,75.8
8742cea2bffffff,22.94883,72.52979,29,71.5
8742cea2bffffff,22.94883,72.52979,30,68.4
8742cea2bffffff,22.94883,72.52979,31,63.5
8742cea2bffffff,22.94883,72.52979,32,66.6
8742cea2bffffff,22.94883,72.52979,33,105.1
8742cea2bffffff,22.94883,72.52979,34,135.6
8742cea2bffffff,22.94883,72.52979,35,110.5
8742cea2bffffff,22.94883,72.52979,36,116.8
8742cea2bffffff,22.94883,72.52979,37,126.1
8742cea2bffffff,22.94883,72.52979,38,79.9
8742cea2bffffff,22.94883,72.52979,39,69.5
8742cea2bffffff,22.94883,72.52979,40,69.6
8742cea2bffffff,22.94883,72.52979,41,74.7
8742cea2cffffff,22.97124,72.48966,0,136.4
8742cea2cffffff,22.97124,72.48966,1,109.5
8742cea2cffffff,22.97124,72.48966,2,102.7
8742cea2cffffff,22.97124,72.48966,3,75.5
8742cea2cffffff,22.97124,72.48966,4,64.1
8742cea2cffffff,22.97124,72.48966,5,57.2
8742cea2cffffff,22.97124,72.48966,6,60.0
8742cea2cffffff,22.97124,72.48966,7,61.0
8742cea2cffffff,22.97124,72.48966,8,67.4
8742cea2cffffff,22.97124,72.48966,9,112.9
8742cea2cffffff,22.97124,72.48966,10,133.2
8742cea2cffffff,22.97124,72.48966,11,113.1
8742cea2cffffff,22.97124,72.48966,12,113.2
8742cea2cffffff,22.97124,72.48966,13,94.5
8742cea2cffffff,22.97124,72.48966,14,77.3
8742cea2cffffff,22.97124,72.48966,15,74.4
8742cea2cffffff,22.97124,72.48966,16,70.8
8742cea2cffffff,22.97124,72.48966,17,67.4
8742cea2cffffff,22.97124,72.48966,18,63.9
8742cea2cffffff,22.97124,72.48966,19,58.4
8742cea2cffffff,22.97124,72.48966,20,68.5
8742cea2cffffff,22.97124,72.48966,21,114.1
8742cea2cffffff,22.97124,72.48966,22,131.0
8742cea2cffffff,22.97124,72.48966,23,120.2
8742cea2cffffff,22.97124,72.48966,24,115.6
8742cea2cffffff,22.97124,72.48966,25,85.5
8742cea2cffffff,22.97124,72.48966,26,83.9
8742cea2cffffff,22.97124,72.48966,27,73.0
8742cea2cffffff,22.97124,72.48966,28,75.8
8742cea2cffffff,22.97124,72.48966,29,71.5
8742cea2cffffff,22.97124,72.48966,30,68.4
8742cea2cffffff,22.97124,72.48966,31,63.5
8742cea2cffffff,22.97124,72.48966,32,66.6
8742cea2cffffff,22.97124,72.48966,33,105.1
8742cea2cffffff,22.97124,72.48966,34,135.6
8742cea2cffffff,22.97124,72.48966,35,110.5
8742cea2cffffff,22.97124,72.48966,36,116.8
8742cea2cffffff,22.97124,72.48966,37,126.1
